TypeOfRequest,RouteNumber,City,From,To,Timings,Comments,Response,Date
New Route,,Bengaluru,Sanjay Nagara (towards GANGENAHALLI),Vydehi Hospital (towards I.T.P.L.),,"Dear Sir.

We need Buses from Sanjaynagar towards ITPL, Since staying in Sanjaynagar we have to travel to Hebbala to get the buses, Why dont you please provide new bus route or reroute some buses through Sanjaynagar.","????? ??????: 278 (????????????? ??????????????), 278-?(???????????? ?????????), 278-??(??????? ?????????? ?????????) ?????? ????? 09 ?????????? ??????? ????????? ??????????????, ???? ??????????? ????????????? ???? ??????? ???? ??? ??????????? ????? ??????: 331, 331-? ?????? ?.??.??.?????? ??????????????????????. ????? ????????????? ???? ????? ???????? ??? ?????? ??????????? ?????????, ???????? ???????? ?????????????? ?????? ???????????? ????? ????????????? ???????? ?????????.",28-Dec-15
New Route,,Bengaluru,Kaval Byrasandra (towards RT NAGARA),Hebbala Bridge (towards TIN FACTORY KR PURAM),,"A feeder service is needed to connect kavalbyrasandra to hebbal via KHB road, kanakanagar, veerannaplaya. this will help a lot of people to stop using private transport to go to manyata and to go anywhere on the outer ring road as volvo buses are available from hebbal. request you to introduce a feeder service atleast in the morning and evenings, that connect kaval byrasandra to hebbal through KHB road.",???????? ??? ???????? ?????????????? ???? ??????????????? ????????????????.,15-Dec-15
New Route,,Bengaluru,Ambedkar Medical College Shampura (towards K.G.HALLI),HSR BDA COMPLEX (towards null),,"Need a direct bus route from Shampura going through Fraser town or through R.T Nagar, old madras road, indiranagar 100 Ft road, EGL, Sony world Junction, St johns and HSR layout. this route will help a lot of people who use private transport to reach HSR layout. ","????? ??????: 290-????, 291-?, 290-?? ??????  ????????????? ???? ??????? ???? ??? ??????????? ????? ??????: 340-???, 362-? ?????? ???????????? ???????? ??????????????????????. ????? ????????????? ???? ????? ???????? ??? ?????? ??????????? ?????????, ???????? ???????? ?????????????? ?????? ???????????? ????? ????????????? ???????? ?????????.",15-Dec-15
New Route,,Bengaluru,Krupanidhi college (towards TOWARDS MADIVALA),Banashankari Bus Station (towards TOWARDS KAGGALIPURA),,"Sir, please provide new bus route from Kormangala to banshankari, as there is no direct bus.","???????? ????? ??????; 288 ????? ????????????? ??????????? ???? ??????? ????? ??????; 500 ????? ?????????? ???? ??? ??????? ????? ???? ???????? ?????? ????????? ???????????????????, ????????? ? ??????????? ??????????????????. ?????? ????????? ???????? ??? ??????? ?????????? ???? ??????????????? ??????? ????? ???, ?????????????????? ????????? ??? ?????? ??????????? ??????? ????? ????????????????.",01-Nov-15
New Route,,Bengaluru,BEL Circle (towards MATHIKERE),Central Silk Board (towards BSK/BMH),,"BEL circle should be the originating point of 500-D volvo and normal bus services. This will ease the commute of people coming from MS Palya, Hesaraghatta, Singapura and Abbigere. Otherwise we have to change 3 buses to reach Hebbal from these places.","????? ??????: 500-????(?????? ????????? ????????????? ????), 500-????(?????? ????????? ??????? ?????? ??????) ?????? ????? 13 ??????????????, ????? ??????? ?????? ??????????????????.",02-Nov-15
New Route,,Bengaluru,Singapura (towards GANGAMMA CIRCLE),ITPL (towards I.T.P.L.),,Please introduce buses from MS palya to ITPL and Silk Board via Singapura and Hebbal. It would help a lot of IT professionals in these localities to leave their personal vehicles and use BMTC services. Look into the issue asap.,"????? ??????; 271-?? ????? ???????????? ?????? ????????? ???? ???????? ???? ??? ??????????? ????? ??????: 500-????, 500-?????? ?????? ?????????? ?????? ?????? ??????????????????. ???? ????? ??????????? ??? ????? ???????? ??? ?????? ???????????? ?????????? ????????????????????. ???????? ???????? ???? ?????? ??????????? ????? ????????????? ???????? ?????????.",02-Nov-15
New Route,,Bengaluru,Kodigehalli Gate (towards KODIGEHALLI),Nanjappa Circle (towards B.E.L. CIRCLE),,"Please add additional buses which will connect

1. Kodigehalli Gate towards Nanjappa circle
2. Kodigehalli gate towards hebbala.
","????? ??????; 288-?, ???????-6 ?????? ????? 06 ??????????????, ???????????????? ??????? ?????, ??????? ????? ????????? ??? ?????? ?????????? ????????????????????. ???????? ??????????? ?????? U???? ??? ????? ????????? ???????????????, ??? ????????? ????????? ???? ? ?????????? ????????????? ????????? ????? ????????????????.",02-Nov-15
New Route,,Bengaluru,Hosakote Bus Stand (towards null),Attibele (towards SARJAPURA),,"hi,
there is no buses from  hosakote to  attibele after 8 clock,information got from you helpline.
we are facing lot of issue to reach our destiny after 8 clock without buses facility how to reach our home.
pls arrange buses till 10 clock in the night that is help for us.
",,21-Aug-16
Other,,Bengaluru,,,,"BMTC Route No. 80F/3/76D to K R MARKET. — Cancellation of Route of BMTC.
Dear Sir/Madam,
We the people of the Bangalore are really annoyed ! Because such a giant organiasation- Bangalore Metrpolitan Transport Corporation short name BMTC developed like anything in the excuse of public service,for last few years without giving any chance for private sector to serve the people of the Bangalore.It is not the conductors or drivers below the rank are totaly liable: But at higher level what happens ? We common people don't undersatnd ! U may ask any Bangalorian going for regular work using the BMTC. He is having either monthly or daily pass.Then where is the question of Collection? why the regular route Like Route no.80F/3/76D , the only bus going interior area of more than 2 Km.far from Main Road has to be cancelled with the reason of NO COLLECTION? It is so cilly that issuing BUS pass to everybody and collect money well in advance! And then SAY No Collection! No BUS !, No service! Really Cut throats!.
",,19-Aug-16
New Route,,Bengaluru,Singapura (towards GANGAMMA CIRCLE),Central Silk Board (towards BANASHANKARI),,"Introduce 500 series buses from Singapura towards Silk Board and ITPL via Hebbal as lot of people in Kuvempu Nagar, Singapura, Gangamma Circle are IT professionals and due to absence of any direct buses towards Hebbal or further we are forced to take personal vehicle even when we do not want to. Please introduce buses for people living in these localities.","????? ??????; 271-?? ????? ???????????? ?????? ????????? ???? ???????? ???? ??? ??????????? ????? ??????: 500-????, 500-?????? ?????? ?????????? ?????? ?????? ??????????????????. ???? ????? ??????????? ??? ????? ???????? ??? ?????? ???????????? ?????????? ????????????????????. ???????? ???????? ???? ?????? ??????????? ????? ????????????? ???????? ?????????.",02-Nov-15
New Route,,Bengaluru,Mariyappana Palya (towards RING ROAD),ITPL (towards I.T.P.L.)," 8:00 AM, 7:30 AM","Hi at present we do not have any buses to travel towards Banashankari or KBS, we have to catch more than 3 buses to travel from mariyappanapalya to ITPL hence request you to kindly introduce new bus services from Mariyappanapalya / kengeri via mariyappanapalya to ITPL . At least two buses in the morning time.",????? ??????: 291-?? (????????? ????????????? ????????? ?????????????) ????? ???????????? ??? ?????? ??????? ???? ??????? ???? ??? ??????????? ???? ??????; 500 ????? ??????????? ??????????? ??????????????????????.,05-Nov-15
New Route,,Bengaluru,ITPL (towards I.T.P.L.),Hebbala (towards TOWARDS YELAHANKA NES),,have some buses through from ITPL KR puram route,"????? ??????: 500-??? (????????????????? ????????), 500-?????? (????????? ??.??.????????? ????????), 500-?? (????? ????????? ????????) ?????? ????? 17 ?????????? ???????????????????, ? ????? ???????? ??????? ???????? ?????? ?????????? ?????????? ??????????????. ????????? ? ?????? ?????? ??????????????????.",18-Jan-16
New Route,,Bengaluru,8th Mile (towards Nelagadaranahalli),Electronic City 2nd Phase (towards Last Stop),,My office is in Electronic city phase 2 traveling in normal bus route is very stressful so kindly make the facial if bus from 8th mile(HMT LAYOUT) to electronic city via NICE ROAD.,"???????? ??????????????????, ?????? ????????? ??????????? ????????? ????????? ?I?? ????? ???? ???????????????????? ??????????????? ?????????? ?????????????. 8?? ???????? ????????????? ??????? ?????? ????????????, ???? ??????????? ????? ????????????? ???? ??????? ?I?? ??? ????????? ???????????????????? ??????????????????????.",29-Jan-16
New Route,,Bengaluru,BEL Circle (towards H.M.T.WATCH FACTORY),Central Silk Board (towards MARATHAHALLI),,"Prefarabally volvo buses,Since there are lot many working in Manyata tech, EMC JPMC, ..or a few buses from hebbal can also be extended in the early morning hours and evening hours.","500-????(?????? ????????? ???????? ?????? ??????) 4 ?????? ???????? ???????????????????, ????? ??????? ?????? ??????????????????.",16-Feb-16
New Route,,Bengaluru,Nelamangala Bypass (towards KUNIGAL),Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),,"Respected Sir/Madam,

We would request you to provide a new bus route from Nelamangala Sondekuppa Bypass to Electronic City Wipro Gate.
We have commuters from Tumkur, Dabaspet, Nelamangala, Dasanapura, Kunigal, Solur, Makali, Arishinakunte, Madanayakanahalli,TCI & Madavara who travel on a daily basis to E-city. Currently the means of transport they use is mostly Private Cabs, Lorry, Canters etc.
Most of them are employed in Wipro, Infosys, HP, ABB, Tejas Networks, TCL, TUV, C.Dot, BOSCH, HCL, Siemens, Altimetry’s, Yokogawa, Cyient etc., all of them do a morning 8:30am to 6pm & 9am TO 6pmIST shift
Introducing this route will help all of us in many ways like:
·        Saves time

·        Hassel free travelling (Especially for Elderly & Pregnant ladies)

·        Using other means of transport like lorry, canters & Private Cab is not safe. By using BMTC we feel more secured and can travel with ease.

·        Using BMTC is economical for all class of people.

·        Reduces strain for people who change different buses to reach office or home.

Kindly request you to analyses the above mentioned situation and approve the request.
Note: we have people who also get down in different tolls like Kengeri, Kanakapura, Bannerughatta & Mysore Road. Introducing this route will help them as well.
 
Respectfully,
Commuters from Nelamangala",?????? ????? ????????? ????????????? ??????????? ?I?? ?????? ????????? ???????????????????? ?????? ??????????? ????????????????. ???? ??????????? ???????????????????? ???? ??????????????? ??????????????????.,11-Feb-16
New Route,,Bengaluru,Central (towards KEMPEGOWDA BUS STATION),Maharani College (towards CORPORATION),,Aged and differently Able persons are finding lot of hardship to walk from Metro terminal station Mantri to Bus Stop towards Market. Buses from Metro Station is not available at all.,?????? ????? ??????? ??????? ??????????????? ??????? ?????????? ????? ?????????? ??????? ????? ????????????????.,17-Feb-16
New Route,,Bengaluru,Majestic (towards Malleshwaram),Hesaraghatta (towards 8TH MILE),,Publics need to walk either to Sapthagiri engg college or sidedahalli for BMTC bus. Hence morning between 6-9 bus to majestic and market is required.  Evening drop from majestic from market is required.,"????? ??????; 250-???, 250-???, 250-????, 250-????, 250-?? ??? ???????? ?????? ????????? ???????????????????, ???? ?????? ??????????? ??????????????????. ???? ????? ??????; 253-?? (????????? ???????????? ???????? ??? ???????????), 253-???(???????? ??? ??????????? ????????? ???????? ????????? ????????????????) ???? 253-?? (???????? ??? ??????????? ????????? ???????? ????????? ??????? ?????) ???? ????? 07 ??????????????, ???? ?????? ??????????? ??????????????????.",22-Feb-16
New Route,,Bengaluru,Bommasandra Indl Area 4TH CROSS (towards \N),Tumkur Road 8th Mile (towards HESARAGHATTA),,BMTC is paying attention only to IT employees to make bus arrangement to ply through Nice road. Bommasandra industrial area many employees works. Please schedule morning by 6.30am & 7am from 8th mile to bommasandra industrial area normal buses suffice the purpose. Please look into employees workers other than IT people also,?????? ????? ????????? ????????????? ??????????? ?I?? ?????? ????????? ???????????????????? ?????? ??????????? ????????????????. ???? ??????????? ???????????????????? ???? ??????????????? ??????????????????.,03-Mar-16
New Route,,Bengaluru,8th Mile (towards Towards Nelagadaranahalli),Bommasandra Industrial Area (towards Bommasandra Industrial Area 4th Cross),,"Bommasandra Indus area majority people ply through NICE road they depend on lorry, private cabs, unusual transport which is not safe. Please help them all by routing at least NORMAL BUSES in morning time through NICE ROAD. I have seen many ladies travel through private cabs which is not definitely safe for them. It would be of greater help if normal buses are arranged for them which is within their budget and which is safe. Manufacturing industries at bommasandra operates at 8 am (Cipla,Biocon,Microlabs, Essae,Anthem and many mechanical industries). Return 06:00,06:30,07:00PM is advisable. Any new buses added to the BMTC bus list and new routes should be notified to the passengers through a effective communication. Bus counters should be opened at 8th mile to make the BMTC more passenger friendly.",?????? ????? ????????? ????????????? ??????????? ?I?? ?????? ????????? ???????????????????? ?????? ??????????? ????????????????. ???? ??????????? ???????????????????? ???? ??????????????? ??????????????????.,03-Mar-16
New Route,,Bengaluru,BANASHANKARI TTMC (towards \N),Anekal Bus Stand (towards \N),,"Sir almost 200 to 250 people travel from banashankari, jaraganahaali, kk cross to jigani & anekal for work as there no direct buses from banashankari to anekal via konankunte cross,jambusavaridinne & gottigere  we are changing 4 to 5 buses daily. 
It is problem for all the people .

so i request you to provide buses from this route .",,22-Aug-16
New Route,,Bengaluru,Jeevanahalli (towards JEEVANAHALLI LAST STOP),Kempegowda Bus Station (towards TOWARDS JANAPRIYA APARTMENT),,"Dear sir/madam,
pls restart route no 126 (Jeevanahalli to KBS) as we are finding difficult reach KBS by catching two buses.
pls restart bus with new route through coxtown-Halasuru lake-commercial st-MG rd-GPO-vidhanasoudha-mysore bank etc.
Thank you",,19-Aug-16
